gene	name	unique_bcs	type	LCL_log2	LCL_n_obs_bc	fib1_log2	fib1_n_obs_bc	fib2_log2	fib2_n_obs_bc
CMV	cmv:101-300	99	positive ctl	3.9956	58	6.1333	70	6.4525	73
CMV	cmv:101-300_shuff	85	negative ctl	-1.7241	45	-1.2333	64	-1.3020	64
CMV	cmv:151-350	83	positive ctl	2.4166	49	4.6101	62	4.7674	64
CMV	cmv:151-350_shuff	78	negative ctl	-1.2300	51	-1.6695	53	-1.3492	58
CMV	cmv:201-400	88	positive ctl	3.4580	40	4.0507	60	4.5667	63
CMV	cmv:201-400_shuff	81	negative ctl	-1.0986	41	-0.8112	57	-1.0512	65
CMV	cmv:251-450	115	positive ctl	4.3963	45	3.8075	56	4.6061	61
CMV	cmv:251-450_shuff	91	negative ctl	-0.4504	30	-0.3485	62	-0.0037	67
CMV	cmv:301-500	106	positive ctl	3.7974	41	4.9481	43	5.3025	48
CMV	cmv:301-500_shuff	110	negative ctl	-0.9700	47	-0.3039	61	-0.6362	67
CMV	cmv:51-250	119	positive ctl	3.5104	70	6.7834	78	7.2176	83
CMV	cmv:51-250_shuff	70	negative ctl	-0.9747	26	-1.5001	49	-0.9650	52
